84,58,-53,83
75,82,55,-79
61,27,-59,63
26,56,-27,-78
98,13,-68,-20
7,101,26,15
26,5,-93,-63
32,30,-79,61
83,56,41,-51
71,62,27,25
5,61,51,13
95,4,86,-77
65,61,-26,-92
32,54,-41,27
72,102,-86,30
87,75,-81,-57
31,32,-55,81
99,51,-1,-50
5,23,4,77
7,52,96,-11
5,30,84,-36
56,0,35,64
53,78,-14,-58
73,56,72,85
24,38,40,89
88,2,13,68
30,68,-83,49
13,95,-16,90
48,27,34,89
77,80,55,-9
69,28,-39,85
19,52,-51,-80
10,28,-18,-88
85,32,80,32
55,86,11,10
64,34,52,-22
88,72,68,-4
87,22,58,-68
58,67,26,11
85,45,76,-28
39,64,-3,-29
22,97,-9,-41
5,60,40,-55
61,1,-14,-37
10,14,-2,-43
50,0,-87,40
97,8,-47,89
61,94,-70,-61
98,66,-47,23
81,66,-85,-52
76,47,-39,52
2,58,-67,-45
8,22,40,-46
87,65,-66,-14
4,6,34,-92
98,26,-19,84
45,4,77,61
86,29,38,45
27,15,57,11
20,6,-76,20
95,21,37,-46
76,90,51,-86
13,15,88,-39
48,101,77,-89
26,59,-86,-78
76,3,-53,-19
53,66,38,52
27,31,36,33
8,48,-79,-2
2,20,-26,60
77,32,-67,84
25,85,8,69
30,3,74,92
18,5,-86,-66
78,57,-56,-75
12,28,-71,52
48,60,14,-79
81,71,-81,96
64,90,-21,-60
83,89,-39,-39
15,56,71,-26
76,39,65,25
70,41,15,-28
72,40,74,-85
30,16,-48,61
30,16,-62,-94
97,18,-5,10
31,25,71,-16
98,46,-95,55
34,79,46,72
21,29,45,78
75,15,13,31
2,94,68,-10
71,44,-63,-36
82,66,-95,21
38,75,47,9
39,64,49,68
31,92,71,-62
3,15,61,-93
12,98,95,55
7,48,37,82
42,80,81,-51
10,17,12,10
72,83,76,45
73,70,80,-7
13,49,-45,-34
31,67,39,-29
41,69,-95,45
43,98,38,-96
14,11,-12,-68
1,18,9,-39
30,53,1,-25
79,17,-41,-88
48,5,7,-18
72,87,31,96
56,34,-40,2
21,11,8,60
33,99,77,10
7,20,-72,-42
14,43,14,-5
4,46,50,-1
41,66,39,75
93,100,37,-14
5,57,-32,56
36,42,-75,-99
12,28,-6,-49
68,93,-56,16
92,29,-23,-37
82,73,17,-34
85,4,78,5
4,60,-43,51
6,38,68,29
94,57,-55,-28
22,95,-93,13
66,14,-81,-65
49,74,21,-83
36,77,12,64
2,84,-37,91
49,36,-59,-49
38,79,18,45
77,91,44,66
94,11,-57,10
47,37,84,-47
15,56,-16,98
13,68,46,-74
4,4,-97,-68
27,43,-86,-58
59,9,66,27
18,51,-23,79
20,96,39,-11
23,14,-93,59
36,100,20,-7
65,52,-39,4
23,13,-44,-1
91,96,-57,-35
57,10,66,-91
79,4,62,-65
50,45,7,-20
76,81,-50,48
10,14,-68,60
9,45,-86,-26
37,59,-54,38
22,22,22,57
17,102,43,14
51,44,89,55
39,73,-76,-31
22,19,-79,-18
70,85,-78,44
74,102,-28,-89
45,87,-27,15
20,94,15,94
74,79,24,-31
85,25,-4,35
63,35,38,84
92,52,44,28
75,56,-95,3
75,18,-91,87
48,19,-21,36
68,95,-95,-65
21,53,-61,44
98,5,-20,70
3,77,-36,97
5,47,-58,-48
76,61,-95,-79
51,89,-14,-86
68,22,6,58
89,82,46,-25
68,93,14,-64
63,39,-76,6
87,100,-18,13
14,80,-37,-5
45,68,70,76
41,36,-83,55
95,67,-57,-24
45,78,56,18
37,97,18,65
81,49,82,-90
17,62,85,-2
20,93,-2,42
15,54,-6,-48
51,34,-87,-47
98,80,10,-28
32,75,74,-57
38,34,25,-72
27,39,64,-72
52,2,14,-43
9,0,-1,-4
8,96,-85,-7
27,74,-58,-5
8,8,-26,89
83,28,-88,-73
19,21,22,61
69,35,38,81
62,65,17,50
89,44,-50,-51
58,19,-7,-93
22,32,-86,-73
60,23,-84,-66
94,68,34,75
82,42,-36,-73
73,19,-21,56
62,42,73,55
60,62,-35,51
54,13,-38,-12
89,86,-1,12
93,72,60,-59
3,99,79,-89
9,58,9,46
72,33,79,1
67,30,-39,59
31,71,37,6
32,84,-89,49
93,18,82,56
60,86,-77,18
95,101,94,42
35,27,-27,59
49,46,49,1
52,4,-66,-15
